date,close,high,low,open,pre,change,rate,volume,amount
2020/2/6,3899.7751,3914.915,3806.9601,3841.7537,3828.5272,71.2479,1.861,17646223500,2.62820088452e+11
2020/2/7,3899.8693,3899.8837,3849.7127,3879.5531,3899.7751,0.0942,0.0024,15173175900,2.37508816256e+11
2020/2/10,3916.0052,3920.1667,3861.0066,3872.3738,3899.8693,16.1359,0.4138,14840696900,2.29625441896e+11
2020/2/11,3952.4643,3970.5221,3915.7077,3926.4204,3916.0052,36.4591,0.931,14344167400,2.19307119361e+11
2020/2/12,3984.4325,3984.4325,3940.6667,3945.6663,3952.4643,31.9682,0.8088,12671032100,2.0077670655e+11
2020/2/13,3959.9188,3999.5495,3950.1422,3985.8757,3984.4325,-24.5137,-0.6152,14500184300,2.28605964793e+11
2020/2/14,3987.7342,4001.5627,3954.0233,3954.234,3959.9188,27.8154,0.7024,14323980300,2.22895073625e+11
2020/2/17,4077.4241,4077.4464,3999.6511,3999.6511,3987.7342,89.6899,2.2491,18277896900,2.73067817278e+11
2020/2/18,4057.5108,4076.388,4027.7859,4069.8315,4077.4241,-19.9133,-0.4884,16323622000,2.42552517334e+11
2020/2/19,4051.3107,4085.1704,4042.8451,4049.5862,4057.5108,-6.2001,-0.1528,16904644100,2.5755453573e+11
2020/2/20,4144.6561,4148.5287,4055.8105,4062.8968,4051.3107,93.3454,2.3041,21223262400,3.10835589162e+11
2020/2/21,4149.4903,4184.4379,4130.1677,4134.8747,4144.6561,4.8342,0.1166,21721360400,3.26564003558e+11
2020/2/24,4132.8388,4149.0102,4097.1753,4131.8364,4149.4903,-16.6515,-0.4013,21286930300,3.26387800606e+11
2020/2/25,4123.8543,4126.7075,4020.9075,4066.302,4132.8388,-8.9845,-0.2174,24416783100,3.7221371703e+11
2020/2/26,4073.0152,4132.7817,4061.125,4070.0994,4123.8543,-50.8391,-1.2328,26109406100,3.66022417907e+11
2020/2/27,4084.8759,4110.5275,4067.4408,4084.0782,4073.0152,11.8607,0.2912,18129098100,2.82050206371e+11
2020/2/28,3940.0488,4031.1453,3928.0663,3988.7274,4084.8759,-144.8271,-3.5454,23027509300,3.30358907266e+11
2020/3/2,4069.6662,4092.5394,3968.8435,3968.8435,3940.0488,129.6174,3.2897,21931355900,3.17426205457e+11
2020/3/3,4091.3615,4147.6525,4067.9094,4125.1356,4069.6662,21.6953,0.5331,21936977700,3.30802584619e+11
2020/3/4,4115.0524,4115.2618,4060.729,4078.4998,4091.3615,23.6909,0.579,18242473000,2.81784863845e+11
2020/3/5,4206.7251,4215.8513,4127.0386,4150.21,4115.0524,91.6727,2.2277,23182311500,3.62838831776e+11
2020/3/6,4138.5072,4181.3102,4135.3901,4158.2021,4206.7251,-68.2179,-1.6216,17247571700,2.53168631959e+11
2020/3/9,3997.1325,4063.076,3995.1313,4063.076,4138.5072,-141.3747,-3.4161,20810203500,3.05428730304e+11
